step,root mean square deviation [a0],HF energy [eV],MP2 energy [eV],CCSD energy [eV]
0,0,-49696.237282089576,-49728.09710971009,-49724.997148003386
1,0.3286480243447587,-49698.11936594891,-49729.538475111905,-49726.606664430474
2,0.657296048689522,-49698.83704847555,-49729.97283954583,-49727.13766015044
3,0.9859440730342832,-49699.06004504918,-49730.02467554627,-49727.23960038955
4,1.3145920973790424,-49699.076908466246,-49729.939677873335,-49727.179020458854
5,1.6432401217238035,-49699.014460872975,-49729.81360821725,-49727.06466071389
6,1.9718881460685669,-49698.92895092222,-49729.683761777604,-49726.940825963866
7,2.3005361704133205,-49698.84370926295,-49729.564372513,-49726.824995711046
8,2.629184194758082,-49698.76703979369,-49729.46043273236,-49726.72344460412
9,2.957832219102845,-49698.70091016202,-49729.37293470291,-49726.63760092779
10,3.2864802434476044,-49698.644821396745,-49729.30090754591,-49726.56666702317
11,3.6151282677923655,-49698.59747714487,-49729.242516162434,-49726.50889226415
12,3.943776292137129,-49698.5575068685,-49729.195583947694,-49726.4621610381
13,4.272424316481888,-49698.52371564125,-49729.157792956146,-49726.424319444624
14,4.601072340826648,-49698.495098570565,-49729.1271906034,-49726.39353315057
15,4.929720365171411,-49698.470783276614,-49729.101929850985,-49726.368068681455
16,5.25836838951617,-49698.44999963725,-49729.08036062169,-49726.34634234893
17,5.587016413860927,-49698.43208603671,-49729.06177395632,-49726.32768138378
18,5.91566443820569,-49698.41650613481,-49729.045261330946,-49726.31115644558
19,6.244312462550448,-49698.40285054834,-49729.03068430464,-49726.29661521912
20,6.57296048689521,-49698.39081891343,-49729.017677860655,-49726.283657234286
21,6.901608511239972,-49698.38019131738,-49729.006239179864,-49726.27226132728
22,7.230256535584731,-49698.37079875167,-49728.996183738614,-49726.26222376052
23,7.558904559929492,-49698.36250105109,-49728.98746049839,-49726.2534876317